content_producer	site_type	gl	hl	term_id	langs	country	term	type	code_lang	collection_date	result_number	link	domain	top_level_domain	coding_completion_date	link_type	link_accessibility	how_recent_is_the_information	what_is_the_author_background	are_there_major_scientific_errors_in_the_link	how_accurate_is_the_scientific_content_presen	are_there_any_scientific_terms_that_lay_peopl	if_you_answered_no_to_the_previous_question_y	jargon_score	is_a_scientific_background_high_school_or_abo	are_the_following_sources_available_in_the_li	x1_none_of_the_below	x2_others	x3_place_to_leave_comments_ask_questions	x4_graphs	x5_relevant_multimedia_e_g_video_animation_et	x6_hyper_links	x7_numerical_data	x8_list_of_sources	x9_citation_or_references_to_relevant_literat	does_the_content_reject_or_reinforce_the_disc	is_malicious_meaning_is_alluded_to_in_the_tex	do_claims_contradict_accepted_scientific_expl	are_specific_groups_in_society_pharma_jews_mu	is_there_reference_to_everyday_life	are_there_local_examples_in_the_content_e_g_r	local_examples_prop	does_the_content_present_advantages_and_disad	langs_country	lang_short	lang_uniq	site_type_fct	content_producer_fct	site_type_collapsed	producer_high_cred	access_multimedia	access_sci	accuracy	cred	cons_n_neg	cons_n_pos	contextual	recency	conspiracy	access	agg_sci_qual	agg_sci_qual_norm
	""	id	id	39	Indonesian	Central Jakarta,Jakarta,Indonesia	PCR	Novel Science and Technology Issues	id	28.7.2022	9	https://dinkes.lhokseumawekota.go.id/article-apa-itu-pcr-covid-19.html	dinkes.lhokseumawekota.go.id	lhokseumawekota.go.id	11.1.2023	1	5									""																		Indonesian_Central Jakarta,Jakarta,Indonesia	id	id			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	id	id	48	Indonesian	Central Jakarta,Jakarta,Indonesia	Pelipatan protein	Novel Science and Technology Issues	id	28.7.2022	3	https://artsandculture.google.com/entity/m0dpy3?hl=id	artsandculture.google.com	google.com	11.1.2023	1	5									""																		Indonesian_Central Jakarta,Jakarta,Indonesia	id	id			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	id	id	77-B	Indonesian	Central Jakarta,Jakarta,Indonesia	Vaksin autisme	Conspiracy Theories	id	28.7.2022	8	https://www.klikdokter.com/tanya-dokter/read/3651197/vaksin-covid-pada-autisme	www.klikdokter.com	klikdokter.com	01.9.2022	1	5									""																		Indonesian_Central Jakarta,Jakarta,Indonesia	id	id			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	id	id	77-B	Indonesian	Central Jakarta,Jakarta,Indonesia	Vaksin autisme	Conspiracy Theories	id	28.7.2022	9	https://www.cdc.gov/vaccinesafety/concerns/autism.html	www.cdc.gov	cdc.gov	01.9.2022	1	3									""																		Indonesian_Central Jakarta,Jakarta,Indonesia	id	id			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	id	id	79-B	Indonesian	Central Jakarta,Jakarta,Indonesia	Bumi datar	Conspiracy Theories	id	28.7.2022	10	https://www.amazon.com/Aku-Bumi-Datar-Extended-Version/dp/154977123X	www.amazon.com	amazon.com	01.9.2022	1	4									""																		Indonesian_Central Jakarta,Jakarta,Indonesia	id	id			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	il	iw	6	Hebrew	Jerusalem District,Israel	מערכת אקולוגית	Canonical Scientific Issues	hw	14.3.2022	7	https://www.youtube.com/watch?v=zsjd3diiPQQ	www.youtube.com	youtube.com	30.3.2023	2	2									""																		Hebrew_Jerusalem District,Israel	iw	iw			""	FALSE	1	0	0	0	0	0	0		0	1		
	""	il	iw	39	Hebrew	Jerusalem District,Israel	PCR	Novel Science and Technology Issues	hw	14.3.2022	2	https://www.oref.org.il/12610-17882-he/pakar.aspx	www.oref.org.il	oref.org.il	30.3.2023	1	4							0		""																		Hebrew_Jerusalem District,Israel	iw	iw			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	il	iw	53	Hebrew	Jerusalem District,Israel	תת תזונה	Socio-Scientific Issues	hw	14.3.2022	9	https://www.youtube.com/watch?v=Z1g1EgOCk9s	www.youtube.com	youtube.com	30.3.2023	2	4							0		""																0		Hebrew_Jerusalem District,Israel	iw	iw			""	FALSE	1	0	0	0	0	0	0		0	1		
	""	il	iw	13	Hebrew	Jerusalem District,Israel	יונקים	Canonical Scientific Issues	hw	14.3.2022	3	https://il.brainpop.com/category_8/subcategory_93/subjects_3035/	il.brainpop.com	brainpop.com	30.3.2023	1	2									""																		Hebrew_Jerusalem District,Israel	iw	iw			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	il	iw	44	Hebrew	Jerusalem District,Israel	מאדים	Novel Science and Technology Issues	hw	14.3.2022	6	https://www.youtube.com/watch?v=CO6khHtitMk	www.youtube.com	youtube.com	30.3.2023	2	2							0		""																		Hebrew_Jerusalem District,Israel	iw	iw			""	FALSE	1	0	0	0	0	0	0		0	1		
	""	il	iw	44	Hebrew	Jerusalem District,Israel	מאדים	Novel Science and Technology Issues	hw	14.3.2022	12	https://astro-club.tau.ac.il/astropedia/%D7%9E%D7%90%D7%93%D7%99%D7%9D	astro-club.tau.ac.il	tau.ac.il	30.3.2023	1	5							0		""																		Hebrew_Jerusalem District,Israel	iw	iw			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	il	iw	47	Hebrew	Jerusalem District,Israel	מכונית אוטונומית	Novel Science and Technology Issues	hw	14.3.2022	7	https://www.themarker.com/magazine/.premium-MAGAZINE-1.9670082	www.themarker.com	themarker.com	30.3.2023	1	2							0		""																		Hebrew_Jerusalem District,Israel	iw	iw			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	il	iw	65	Hebrew	Jerusalem District,Israel	זיהום קרקע	Socio-Scientific Issues	hw	14.3.2022	11	https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjyvtmb2sX2AhVpSnIKHY7mA3wYABAAGgJxdQ&ohost=www.google.com&cid=CAASE-RosPhX_CcuK2R0y9a5mYeQKTM&sig=AOD64_238bbL2uEn5z8pskqv5OKyc13wUA&q&adurl&ved=2ahUKEwiumtCb2sX2AhUgj4kEHZrjCuYQ0Qx6BAgdEAE	www.googleadservices.com	googleadservices.com	30.3.2023	1	5									""																		Hebrew_Jerusalem District,Israel	iw	iw			""	FALSE	0	0	0	0	0	0	0		0	0		
